SourcedFrom,FileTimeUtc,Botnet,SourceIp,SourcePort,SourceIpAsnNr,TargetIp,TargetPort,Payload,SourceIpCountryCode,SourceIpRegion,SourceIpCity,SourceIpPostalCode,SourceIpLatitude,SourceIpLongitude,SourceIpMetroCode,SourceIpAreaCode,HttpRequest,HttpReferrer,HttpUserAgent,HttpMethod,HttpVersion,HttpHost,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Threat Confidence
SinkHoleMessage,1.31E+17,B106-Jenxcus,203.106.148.251,25493,AS4788,204.95.99.86,991,,MY,9,Penang,,5.4112,100.3354,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-CB,175.141.11.110,19587,AS4788,204.95.99.31,2288,,MY,9,Jelutong,,5.39,100.3189,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,175.145.181.1,51229,AS4788,204.95.99.109,8089,,MY,9,Penang,,5.4112,100.3354,0,0,myversion|2.9,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-Bladabindi,219.92.115.116,60960,AS4788,204.95.99.26,1122,,MY,3,Kota Bharu,,6.1333,102.2386,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-Jenxcus,115.132.90.195,55443,AS4788,204.95.99.86,4442,,MY,12,Puchong,,3.0167,101.6167,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,202.184.111.90,14151,AS2042,204.95.99.109,4,,MY,14,Kuala Lumpur,,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-Jenxcus,203.106.150.155,11715,AS4788,204.95.99.86,991,,MY,9,Penang,,5.4112,100.3354,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,113.210.11.41,31703,AS9534,204.95.99.109,1991,,MY,12,Kajang,,2.9927,101.7909,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,175.142.92.231,50492,AS4788,204.95.99.109,88,,MY,2,Alor Setar,,6.121,100.3601,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-Jenxcus,203.106.150.73,8546,AS4788,204.95.99.86,1604,,MY,9,Penang,,5.4112,100.3354,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-CB,175.140.126.128,53001,AS4788,204.95.99.31,288,,MY,1,Johor Bahru,,1.4655,103.7578,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,115.132.48.3,62129,AS4788,204.95.99.109,1890,,MY,7,Ipoh,,4.5841,101.0829,0,0,190,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,1.9.96.56,10277,AS4788,204.95.99.109,88,,MY,14,Kuala Lumpur,,3.1667,101.7,0,0,lv0njxq80w0rm 4_5CD70A8C0njxq80PT110640njxq80XP USER0njxq800njxq80WIN_XP X86 SP30njxq800.4d0njxq80N0njxq80--,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,175.144.29.165,13089,AS4788,204.95.99.109,1888,,MY,,,,2.5,112.5,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-Jenxcus,175.140.91.128,21159,AS4788,204.95.99.86,84,,MY,12,Seri Kembangan,,3.0333,101.7167,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-Jenxcus,113.210.134.151,13130,AS9534,204.95.99.86,2320,,MY,12,Rawang,,3.3213,101.5767,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,175.137.186.230,18220,AS4788,204.95.99.109,333,,MY,12,Klang,,3.0333,101.45,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,183.171.183.251,46787,AS10030,204.95.99.109,333,,MY,16,Kota Kinabalu,,5.9749,116.0724,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,123.136.107.154,10598,AS38466,204.95.99.109,81,,MY,14,Kuala Lumpur,,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,203.106.152.17,5411,AS4788,204.95.99.109,1888,,MY,7,Ipoh,,4.5841,101.0829,0,0,lv0njxq80D.H_F16_A82F7EA20njxq80USER-PC0njxq80user0njxq800njxq80WIN_7 X86 SP00njxq800.4d0njxq80Y0njxq80--,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,103.1.70.138,64506,AS45960,204.95.99.109,333,,MY,9,Penang,,5.4112,100.3354,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-Jenxcus,210.186.53.214,3462,AS4788,204.95.99.86,81,,MY,6,Kuantan,,3.8077,103.326,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
